MÊS,PRODUTO,UNIDADE DE MEDIDA,PREÇO MÉDIO DE DISTRIBUIÇÃO,DESVIO PADRÃO
Sep-20,ETANOL HIDRATADO ADITIVADO,R$/l,2.399,0.076
Oct-20,ETANOL HIDRATADO ADITIVADO,R$/l,2.556,0.108
Nov-20,ETANOL HIDRATADO ADITIVADO,R$/l,2.715,0.077
Dec-20,ETANOL HIDRATADO ADITIVADO,R$/l,2.744,0.095
Jan-21,ETANOL HIDRATADO ADITIVADO,R$/l,2.802,0.088
Feb-21,ETANOL HIDRATADO ADITIVADO,R$/l,2.990,0.181
Mar-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.455,0.229
Apr-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.191,0.216
May-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.711,0.176
Jun-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.773,0.162
Jul-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.762,0.154
Aug-21,ETANOL HIDRATADO ADITIVADO,R$/l,3.990,0.169
Sep-21,ETANOL HIDRATADO ADITIVADO,R$/l,4.180,0.138
Oct-21,ETANOL HIDRATADO ADITIVADO,R$/l,4.353,0.171
Nov-21,ETANOL HIDRATADO ADITIVADO,R$/l,4.774,0.175
Dec-21,ETANOL HIDRATADO ADITIVADO,R$/l,4.403,0.181
Jan-22,ETANOL HIDRATADO ADITIVADO,R$/l,4.322,0.167
Feb-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.892,0.224
Mar-22,ETANOL HIDRATADO ADITIVADO,R$/l,4.142,0.268
Apr-22,ETANOL HIDRATADO ADITIVADO,R$/l,4.659,0.276
May-22,ETANOL HIDRATADO ADITIVADO,R$/l,4.431,0.223
Jun-22,ETANOL HIDRATADO ADITIVADO,R$/l,4.078,0.239
Jul-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.629,0.190
Aug-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.294,0.197
Sep-22,ETANOL HIDRATADO ADITIVADO,R$/l,2.822,0.121
Oct-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.112,0.115
Nov-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.333,0.097
Dec-22,ETANOL HIDRATADO ADITIVADO,R$/l,3.331,0.094
Jan-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.258,0.146
Feb-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.262,0.102
Mar-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.324,0.107
Apr-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.471,0.152
May-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.308,0.184
Jun-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.141,0.115
Jul-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.106,0.177
Aug-23,ETANOL HIDRATADO ADITIVADO,R$/l,2.974,0.115
Sep-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.039,0.104
Oct-23,ETANOL HIDRATADO ADITIVADO,R$/l,3.009,0.104
Nov-23,ETANOL HIDRATADO ADITIVADO,R$/l,2.997,0.106
Dec-23,ETANOL HIDRATADO ADITIVADO,R$/l,2.809,0.139
Jan-24,ETANOL HIDRATADO ADITIVADO,R$/l,2.742,0.132
Feb-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.129,0.118
Mar-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.129,0.114
Apr-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.290,0.132
May-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.251,0.135
Jun-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.273,0.152
Jul-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.528,0.174
Aug-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.573,0.242
Sep-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.467,0.263
Oct-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.477,0.214
Nov-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.549,0.196
Dec-24,ETANOL HIDRATADO ADITIVADO,R$/l,3.586,0.197
Jan-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.734,0.233
Feb-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.855,0.241
Mar-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.824,0.232
Apr-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.760,0.259
May-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.746,0.238
Jun-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.635,0.267
Jul-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.610,0.267
Aug-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.651,0.248
Sep-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.746,0.221
Oct-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.717,0.208
Nov-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.766,0.203
Dec-25,ETANOL HIDRATADO ADITIVADO,R$/l,3.889,0.205
Jan-26,ETANOL HIDRATADO ADITIVADO,R$/l,4.062,0.209
Feb-26,ETANOL HIDRATADO ADITIVADO,R$/l,4.082,0.196
Mar-26,ETANOL HIDRATADO ADITIVADO,R$/l,4.047,0.233
Apr-26,ETANOL HIDRATADO ADITIVADO,R$/l,3.953,0.351
Sep-20,ETANOL HIDRATADO COMUM,R$/l,2.371,0.171
Oct-20,ETANOL HIDRATADO COMUM,R$/l,2.524,0.163
Nov-20,ETANOL HIDRATADO COMUM,R$/l,2.662,0.130
Dec-20,ETANOL HIDRATADO COMUM,R$/l,2.695,0.160
Jan-21,ETANOL HIDRATADO COMUM,R$/l,2.748,0.160
Feb-21,ETANOL HIDRATADO COMUM,R$/l,2.948,0.232
