refinery_code,month,product,production_m3,total_processed_m3,yield_ratio,provenance
RPCC,2025-01,NAFTA,11933.934,148290.0,0.080477,observed_positive_yield
RPCC,2025-01,QUEROSENE DE AVIAÇÃO,13765.03,148290.0,0.092825,observed_positive_yield
RPCC,2025-01,ÓLEO COMBUSTÍVEL,91298.262,148290.0,0.615674,observed_positive_yield
RPCC,2025-01,ÓLEO DIESEL,32798.349,148290.0,0.221177,observed_positive_yield
RPCC,2025-02,NAFTA,11666.147,149092.0,0.078248,observed_positive_yield
RPCC,2025-02,QUEROSENE DE AVIAÇÃO,14203.49,149092.0,0.095267,observed_positive_yield
RPCC,2025-02,ÓLEO COMBUSTÍVEL,96332.102,149092.0,0.646125,observed_positive_yield
RPCC,2025-02,ÓLEO DIESEL,25536.73,149092.0,0.171282,observed_positive_yield
RPCC,2025-03,NAFTA,12088.296,148771.0,0.081254,observed_positive_yield
RPCC,2025-03,QUEROSENE DE AVIAÇÃO,11678.854,148771.0,0.078502,observed_positive_yield
RPCC,2025-03,ÓLEO COMBUSTÍVEL,97086.728,148771.0,0.652592,observed_positive_yield
RPCC,2025-03,ÓLEO DIESEL,26586.874,148771.0,0.17871,observed_positive_yield
RPCC,2025-04,NAFTA,14246.251,157674.0,0.090353,observed_positive_yield
RPCC,2025-04,QUEROSENE DE AVIAÇÃO,12675.998,157674.0,0.080394,observed_positive_yield
RPCC,2025-04,ÓLEO COMBUSTÍVEL,97020.409,157674.0,0.615323,observed_positive_yield
RPCC,2025-04,ÓLEO DIESEL,23774.184,157674.0,0.150781,observed_positive_yield
RPCC,2025-05,NAFTA,13088.103,153932.0,0.085025,observed_positive_yield
RPCC,2025-05,QUEROSENE DE AVIAÇÃO,14100.775,153932.0,0.091604,observed_positive_yield
RPCC,2025-05,ÓLEO COMBUSTÍVEL,98374.838,153932.0,0.63908,observed_positive_yield
RPCC,2025-05,ÓLEO DIESEL,25816.74,153932.0,0.167715,observed_positive_yield
RPCC,2025-06,NAFTA,12876.534,160636.0,0.08016,observed_positive_yield
RPCC,2025-06,QUEROSENE DE AVIAÇÃO,16399.51,160636.0,0.102091,observed_positive_yield
RPCC,2025-06,ÓLEO COMBUSTÍVEL,102759.88,160636.0,0.639706,observed_positive_yield
RPCC,2025-06,ÓLEO DIESEL,24729.448,160636.0,0.153947,observed_positive_yield
RPCC,2025-07,GASOLINA A,970.141,161154.0,0.00602,observed_positive_yield
RPCC,2025-07,NAFTA,13711.334,161154.0,0.085082,observed_positive_yield
RPCC,2025-07,QUEROSENE DE AVIAÇÃO,13945.198,161154.0,0.086533,observed_positive_yield
RPCC,2025-07,ÓLEO COMBUSTÍVEL,104388.998,161154.0,0.647759,observed_positive_yield
RPCC,2025-07,ÓLEO DIESEL,23943.641,161154.0,0.148576,observed_positive_yield
RPCC,2025-08,GASOLINA A,274.915,144073.0,0.001908,observed_positive_yield
RPCC,2025-08,NAFTA,14057.836,144073.0,0.097574,observed_positive_yield
RPCC,2025-08,QUEROSENE DE AVIAÇÃO,10716.795,144073.0,0.074384,observed_positive_yield
RPCC,2025-08,ÓLEO COMBUSTÍVEL,93365.641,144073.0,0.648044,observed_positive_yield
RPCC,2025-08,ÓLEO DIESEL,24689.92,144073.0,0.171371,observed_positive_yield
RPCC,2025-09,GASOLINA A,689.42,167876.0,0.004107,observed_positive_yield
RPCC,2025-09,NAFTA,12873.122,167876.0,0.076682,observed_positive_yield
RPCC,2025-09,QUEROSENE DE AVIAÇÃO,13093.131,167876.0,0.077993,observed_positive_yield
RPCC,2025-09,ÓLEO COMBUSTÍVEL,112317.744,167876.0,0.669052,observed_positive_yield
RPCC,2025-09,ÓLEO DIESEL,28669.631,167876.0,0.170779,observed_positive_yield
RPCC,2025-10,GASOLINA A,618.72,138473.0,0.004468,observed_positive_yield
RPCC,2025-10,NAFTA,10346.535,138473.0,0.074719,observed_positive_yield
RPCC,2025-10,QUEROSENE DE AVIAÇÃO,10062.677,138473.0,0.072669,observed_positive_yield
RPCC,2025-10,ÓLEO COMBUSTÍVEL,93046.833,138473.0,0.671949,observed_positive_yield
RPCC,2025-10,ÓLEO DIESEL,21299.777,138473.0,0.153819,observed_positive_yield
RPCC,2025-11,NAFTA,12776.559,148211.0,0.086205,observed_positive_yield
RPCC,2025-11,QUEROSENE DE AVIAÇÃO,9607.64,148211.0,0.064824,observed_positive_yield
RPCC,2025-11,ÓLEO COMBUSTÍVEL,97847.694,148211.0,0.660192,observed_positive_yield
RPCC,2025-11,ÓLEO DIESEL,25330.298,148211.0,0.170907,observed_positive_yield
RPCC,2025-12,NAFTA,12859.007,151310.0,0.084985,observed_positive_yield
RPCC,2025-12,QUEROSENE DE AVIAÇÃO,12852.859,151310.0,0.084944,observed_positive_yield
RPCC,2025-12,ÓLEO COMBUSTÍVEL,97330.829,151310.0,0.643254,observed_positive_yield
RPCC,2025-12,ÓLEO DIESEL,24923.037,151310.0,0.164715,observed_positive_yield
REAM,2025-01,ÓLEO COMBUSTÍVEL,1515.057,0.0,,unavailable_no_positive_throughput
REAM,2025-01,ÓLEO DIESEL,66351.351,0.0,,unavailable_no_positive_throughput
REAM,2025-02,ÓLEO COMBUSTÍVEL,2076.053,0.0,,unavailable_no_positive_throughput
REAM,2025-02,ÓLEO DIESEL,65047.074,0.0,,unavailable_no_positive_throughput
REAM,2025-03,GASOLINA A,50135.329,47152.0,1.06327,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-03,GLP,572.882,47152.0,0.01215,observed_positive_yield
REAM,2025-03,NAFTA,27552.811,47152.0,0.58434,observed_positive_yield
REAM,2025-03,QUEROSENE DE AVIAÇÃO,3807.948,47152.0,0.080759,observed_positive_yield
REAM,2025-03,ÓLEO COMBUSTÍVEL,5340.276,47152.0,0.113257,observed_positive_yield
REAM,2025-03,ÓLEO DIESEL,49466.962,47152.0,1.049096,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-04,GLP,67.114,18228.0,0.003682,observed_positive_yield
REAM,2025-04,NAFTA,29496.403,18228.0,1.618192,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-04,QUEROSENE DE AVIAÇÃO,238.488,18228.0,0.013084,observed_positive_yield
REAM,2025-04,ÓLEO COMBUSTÍVEL,4113.086,18228.0,0.225647,observed_positive_yield
REAM,2025-04,ÓLEO DIESEL,33104.314,18228.0,1.816124,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-05,GASOLINA A,23938.265,0.0,,unavailable_no_positive_throughput
REAM,2025-05,ÓLEO COMBUSTÍVEL,4799.897,0.0,,unavailable_no_positive_throughput
REAM,2025-05,ÓLEO DIESEL,41703.866,0.0,,unavailable_no_positive_throughput
REAM,2025-06,GASOLINA A,23379.575,0.0,,unavailable_no_positive_throughput
REAM,2025-06,ÓLEO COMBUSTÍVEL,10133.204,0.0,,unavailable_no_positive_throughput
REAM,2025-06,ÓLEO DIESEL,46409.61,0.0,,unavailable_no_positive_throughput
REAM,2025-07,GASOLINA A,79656.658,0.0,,unavailable_no_positive_throughput
REAM,2025-07,ÓLEO COMBUSTÍVEL,13911.466,0.0,,unavailable_no_positive_throughput
REAM,2025-07,ÓLEO DIESEL,56761.139,0.0,,unavailable_no_positive_throughput
REAM,2025-08,ASFALTO,2103.538,0.0,,unavailable_no_positive_throughput
REAM,2025-08,GASOLINA A,38500.228,0.0,,unavailable_no_positive_throughput
REAM,2025-08,ÓLEO COMBUSTÍVEL,1135.102,0.0,,unavailable_no_positive_throughput
REAM,2025-08,ÓLEO DIESEL,49006.219,0.0,,unavailable_no_positive_throughput
REAM,2025-09,ASFALTO,51.933,137.0,0.379075,observed_positive_yield
REAM,2025-09,GASOLINA A,14453.409,137.0,105.499336,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-09,ÓLEO COMBUSTÍVEL,10586.087,137.0,77.270705,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-09,ÓLEO DIESEL,65263.008,137.0,476.372321,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-10,ASFALTO,1691.833,0.0,,unavailable_no_positive_throughput
REAM,2025-10,GASOLINA A,60525.214,0.0,,unavailable_no_positive_throughput
REAM,2025-10,NAFTA,631.32,0.0,,unavailable_no_positive_throughput
REAM,2025-10,ÓLEO COMBUSTÍVEL,6006.81,0.0,,unavailable_no_positive_throughput
REAM,2025-10,ÓLEO DIESEL,50324.164,0.0,,unavailable_no_positive_throughput
REAM,2025-11,ASFALTO,3340.39,10740.0,0.311023,observed_positive_yield
REAM,2025-11,ÓLEO COMBUSTÍVEL,6253.888,10740.0,0.582299,observed_positive_yield
REAM,2025-11,ÓLEO DIESEL,50736.366,10740.0,4.724056,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-12,ASFALTO,7856.158,28926.0,0.271595,observed_positive_yield
REAM,2025-12,GASOLINA A,50547.773,28926.0,1.747486,observed_ratio_exceeds_unit_interval_data_quality_flag
REAM,2025-12,ÓLEO COMBUSTÍVEL,10236.496,28926.0,0.353886,observed_positive_yield
REAM,2025-12,ÓLEO DIESEL,49924.144,28926.0,1.725926,observed_ratio_exceeds_unit_interval_data_quality_flag
RECAP,2025-01,GASOLINA A,96063.372,259936.0,0.369565,observed_positive_yield
RECAP,2025-01,GLP,27431.098,259936.0,0.10553,observed_positive_yield
RECAP,2025-01,OUTROS NÃO ENERGÉTICOS,19771.12,259936.0,0.076061,observed_positive_yield
RECAP,2025-01,SOLVENTE,4329.57,259936.0,0.016656,observed_positive_yield
