ANO;MÊS;UNIDADE DA FEDERAÇÃO;REFINARIA;PRODUTO;PRODUÇÃO
1990;JAN;CEARÁ;LUBNOR;PARAFINA;0
1990;MAI;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;23832
1990;JUN;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;0
1990;JUL;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;0
1990;AGO;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;3995
1990;SET;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;3404
1990;OUT;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;2076
1990;NOV;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;19594
1990;DEZ;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;0
1990;JAN;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;FEV;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;MAR;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;ABR;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;MAI;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;JUN;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;JUL;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;AGO;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;SET;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;OUT;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;NOV;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;DEZ;SÃO PAULO;REVAP;GASOLINA DE AVIAÇÃO;0
1990;JAN;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;FEV;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;MAR;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;ABR;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;0
1990;ABR;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;MAR;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;3499
1990;JAN;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;4162
1990;FEV;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;MAR;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;ABR;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;MAI;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;JUN;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;JUL;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;AGO;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;SET;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;OUT;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;NOV;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;DEZ;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;JAN;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;FEV;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;MAR;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;ABR;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;MAI;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;JUN;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;JUL;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;AGO;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;SET;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;OUT;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;NOV;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;DEZ;RIO DE JANEIRO;REDUC;GASOLINA DE AVIAÇÃO;0
1990;FEV;SÃO PAULO;RPBC;GASOLINA DE AVIAÇÃO;14983
1990;JAN;RIO DE JANEIRO;MANGUINHOS;GASOLINA DE AVIAÇÃO;0
1990;MAI;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;JUL;SÃO PAULO;RECAP;GASOLINA DE AVIAÇÃO;0
1990;NOV;PARANÁ;REPAR;GASOLINA DE AVIAÇÃO;0
1990;DEZ;PARANÁ;REPAR;GASOLINA DE AVIAÇÃO;0
1990;JAN;RIO GRANDE DO NORTE;RPCC;GASOLINA DE AVIAÇÃO;0
1990;FEV;RIO GRANDE DO NORTE;RPCC;GASOLINA DE AVIAÇÃO;0
1990;MAR;RIO GRANDE DO NORTE;RPCC;GASOLINA DE AVIAÇÃO;0
1990;ABR;RIO GRANDE DO NORTE;RPCC;GASOLINA DE AVIAÇÃO;0
